Run,OfflineError,TrackingError
1,443.55511685904804,10.349142983645251
2,280.9182148851911,6.319204680811716
3,463.645955813101,11.02893845981817
4,396.6774091721197,10.396577515311051
5,379.08325385296905,9.992591514780452
6,301.0636170777814,7.055183220974649
7,521.0971063052096,10.518444184037518
8,375.641025504563,9.717514165138223
9,214.39114709516812,5.267628386571894
10,305.17203640916307,7.75992417985189
11,519.3949695521094,11.53780353966076
12,324.66950996848743,7.527278638034939
13,370.58412116734326,9.127466276510642
14,205.86950399287366,5.987154255552875
15,292.0119444191617,7.432215254369139
16,279.43222153430406,7.135210067004281
17,407.5565866309694,8.906353339505896
18,279.38606569066343,6.950558919296071
19,247.43000950483986,6.908546174743027
20,307.661157548865,6.880602450465613
