Run,OfflineError,TrackingError
1,292.6536755113423,4.433713662601738
2,24.947690707117125,2.874622177527765
3,43.97848429349843,3.1214452266193966
4,37.05889312520039,3.0960484837980005
5,34.306609633112465,3.441151893937181
6,43.34886288248159,2.668095687243507
7,35.74838561135577,3.0923218500192426
8,26.903638302003916,2.8528461877403455
9,35.34651985931223,3.428374192917151
10,29.68847877750286,3.255033265741748
11,37.95647491659834,2.9696721195335996
12,32.48819364965473,2.9214991130884247
13,27.200687157921315,3.2223583930008073
14,28.87934653763653,3.0064114767100274
15,48.82670879596714,3.1531130544013477
16,43.33083155619227,3.348842972066519
17,37.05757498946698,3.2663129230258505
18,38.93015971875556,3.1186417420695194
19,35.42760180043276,2.228750591441091
20,27.856664292212862,2.8044997395528624
