Run,OfflineError,TrackingError
1,29.814942096433796,4.1917882667681905
2,25.969705100397775,3.853773589657688
3,42.134334770968955,5.366831431480725
4,39.01613385057605,5.485832825328563
5,36.078351014799956,4.957739489505892
6,47.631487429118394,5.409413674467498
7,35.831895120018324,4.457321180871049
8,35.914068879898416,4.883936771184263
9,46.85031420749745,5.606375665186009
10,46.16972062308564,5.436454814955239
11,40.158787233629354,5.173631357845326
12,35.96638483996417,4.543665351723069
13,40.97534046953353,5.278959521728291
14,50.17311891332543,5.502031369144127
15,43.57606261324701,5.349540623263083
16,31.667565655174847,4.485125067931756
17,36.502371954577875,4.7879072792216695
18,54.36218936896239,6.05873115163661
19,36.7587139967982,4.698460600221075
20,47.17570091716564,5.724816787570249
