Run,OfflineError,TrackingError
1,36.46194924245536,4.223841117743614
2,37.61557117580141,3.7514351006346844
3,21.49066976430057,2.4334853433322747
4,13.573343835199854,2.471786352774863
5,11.435406939063697,2.1386531035936382
6,16.81796048336848,2.98243617698619
7,30.256995831251423,3.2961451779815825
8,17.539696579091764,2.660315236053782
9,12.6221392258679,2.3003801990667463
10,11.513540309465215,2.2470473138345666
11,17.12096355792588,2.499428206512033
12,22.513424275098018,3.371043426265191
13,27.902152883056747,3.5092278525223124
14,24.38736386851032,2.833058341029729
15,20.524755237630117,2.6725161373193758
16,21.283506498663044,3.384441137577722
17,25.46021020317258,3.694830375135948
18,25.680950126045165,4.121796195892128
19,35.929098939105316,3.48720061601833
20,43.83791868575694,4.476558099611685
