Run,OfflineError,TrackingError
1,29.36976800115473,4.240919728255826
2,26.261017804250756,3.816384442108474
3,26.44878798344848,3.8418831820285386
4,25.727275851280442,3.915749148712503
5,26.96863206388806,4.142710474877114
6,26.342755269582586,3.7974219455433933
7,25.271708213598686,3.498637517734245
8,24.86764949637105,3.6161512892545176
9,27.493762071848927,4.041983444898436
10,27.647886863237915,3.7878950805424
11,26.193120927790822,4.028771501222523
12,25.65468382913801,3.8298313023662383
13,24.568636444553057,3.8445852912798766
14,24.902177593504028,3.696077265954123
15,25.20917458820598,3.7872105976750965
16,27.373861870140672,3.9961950756582483
17,25.41210712103535,3.795008968872056
18,28.682202400403238,4.422037261922037
19,26.14091622016386,3.9972876391653847
20,26.128464170134386,3.9534408549020386
