Run,OfflineError,TrackingError
1,35.71255406263404,2.7231072978185007
2,35.69035815383964,2.6054510300893203
3,38.987249447891834,2.7292039297503212
4,37.01415736868701,2.762400054659325
5,36.359050973913384,2.700598240998456
6,33.24950252498492,2.4663456535988186
7,36.21998749714215,2.687729454624803
8,36.72265890865711,2.6742783984194354
9,35.167288707379306,2.5812121462120303
10,35.67362646186437,2.5080786740532397
11,37.62144512227335,2.894159092933301
12,35.33287280086162,2.7035464050395506
13,37.47771047224552,2.535171389757759
14,36.402032704155395,2.7930145366455337
15,35.81276901736835,2.667939866529413
16,35.10644901203589,2.588335236195491
17,36.2280436714662,2.7529462610123003
18,37.15552338687938,2.4380807854669126
19,35.22214630386964,2.549204518695269
20,33.55280415418347,2.7051866214813782
