Run,OfflineError,TrackingError
1,36043.10317214487,5.889960907497217
2,13271.428942701761,4.935114121775672
3,7582.476069985877,3.7726073074669353
4,16185.146412290667,2.9447912873342483
5,4673.366251855116,3.7076986068504083
6,10940.539871223578,3.3250448088270725
7,37114.380178192696,4.0491804343498385
8,9345.286214136908,3.3095587515869997
9,27851.088908942238,4.128854183463288
10,7486.086972860789,2.999826338452229
11,6780.380169721594,2.948812187151505
12,10414.050056484863,3.6976239592981255
13,23813.16763769089,3.5393773930567307
14,2799.6829752961803,3.006307819572192
15,39134.05833538205,5.205158810377244
16,28379.85875462691,2.9813342625827812
17,32559.069150807467,3.336679609909423
18,22357.414639619474,2.84013979438812
19,3988.631677945012,3.1763353040794753
20,8087.516999287293,3.8571796166494545
