Run,OfflineError,TrackingError
1,177.55121570806793,1.6329797895611646
2,109.55815284433545,1.6284620027419476
3,24.224350502122455,1.7491371589487699
4,91.61459086611256,1.4733546346316715
5,649.8117237054183,1.098575265297864
6,249.96145779240587,1.5783884405106416
7,481.75952208577223,1.5506111775652363
8,207.36102109904897,1.1925458628166918
9,125.96911482655813,2.4658515003994324
10,237.60171442483954,1.612773173737751
11,179.19957052283266,1.6943815230372183
12,358.0646181709154,1.5056400120898172
13,408.6253214876017,1.7790407521008256
14,90.5728337438349,1.76561538305531
15,91.86347285649752,1.542785022001903
16,293.60845455280867,1.6153570850466568
17,56.28647809369873,1.8042597777254497
18,249.02183362642154,1.372875894838451
19,191.18832645882512,1.8055143902800899
20,113.3218538622235,1.6165745148735957
