Run,OfflineError,TrackingError
1,17.683348095403986,3.0722874162327174
2,13.526810234611395,2.9364250024386624
3,14.370956815980733,2.8768680332036083
4,16.972357096722707,3.2144943828621684
5,15.32656777092869,3.0420419254864886
6,13.758808417720225,3.0168329193630523
7,18.766812299701183,3.179252708630386
8,13.88611312536055,2.9698279784459745
9,14.48291852585591,3.0724146827946726
10,16.175030776743164,3.1266979301663853
11,14.075278023184719,3.081703942552801
12,14.98438416975502,3.1200544556786536
13,17.267121396913115,3.174672533317532
14,14.778287035355392,2.9072902857274756
15,15.276222591921478,3.124842360522867
16,16.09575867562861,3.0054861534253776
17,14.29252888480116,2.8400522794585226
18,16.011737868603294,2.9680616762434626
19,21.343788771537906,3.0834759492850274
20,14.612461829149925,2.8980111220926985
