Iteration,Fitness,AParameter,Distance,Diversity
1,2366.14728064025,1,48.643059943225715,66.03549589871224
2,2091.8198518147206,1,45.736417129184055,45.76702366967545
3,1655.7318512914367,1,40.690685067855966,36.89920623247608
4,1145.5695672170057,1,33.84626371133165,29.077837654727812
5,1080.5548768862704,1,32.87179454922214,27.996670783532164
6,1145.189632484099,1,33.84065059191533,27.239641767719057
7,1007.7674798426756,1,31.745353673296435,20.378362371447544
8,796.6878542113797,1,28.225659500025497,27.708669916767708
9,339.90534051020353,1,18.43652192009663,27.797485336636928
10,241.03928763433493,1,15.52544001419396,26.47712961274607
11,268.75742844730803,1,16.393822874708267,26.207389821129894
12,143.27942523677282,1,11.9699383973675,24.44855576162671
13,248.336474597702,1,15.75869520606646,26.265157754896947
14,320.522668266646,1,17.903146881669883,24.57045445485535
15,337.7301785237597,1,18.37743666901779,25.95025812809019
16,208.63262445447373,1,14.44412075740416,23.941562933446335
17,212.8966725326808,1,14.590979149209995,20.769472660833365
18,222.24941907104085,1,14.908032032130896,19.95422454650217
19,177.1027210403936,1,13.307994628808414,19.85689003548477
20,237.88035123908276,1,15.423370294429255,22.531024657496463
21,208.92312274955606,1,14.454173194948096,19.51063452695904
22,172.4515103509371,1,13.132079437428677,19.850442033356323
23,128.04507720590306,1,11.315700473497126,18.480944631578613
24,102.12620363555244,1,10.1057510178884,17.54340521047411
25,140.8272128805833,1,11.867064206474291,17.556259532396673
26,86.6175487677771,1,9.306854934282423,16.36948357414062
27,66.93977155330293,1,8.181672906765641,15.301346253375685
28,73.16413720063537,1,8.55360375518035,15.094611847212777
29,85.85376596294239,1,9.265730730112029,13.502704398216936
30,85.53649083638162,1,9.248593992406716,14.447757377991513
31,71.46907603318488,1,8.453938492394233,13.277102013137748
32,81.96220305485474,1,9.053297910422188,13.671285100452387
33,36.991722155374454,1,6.082082057599556,12.205642998925526
34,75.60321015690701,1,8.695010647314183,12.973530809478744
35,40.029900332797304,1,6.3269187076172635,13.598989655092392
36,74.51545937988406,1,8.632233742194662,12.231250930536298
37,48.285144908895646,1,6.948751320121885,13.244372747379922
38,67.62614504057439,1,8.22351172192114,13.444757931746652
39,48.88279246276307,1,6.991623020641422,11.88593902615499
40,69.15953498924486,1,8.316221196507755,11.012651228943728
41,55.07136412612162,1,7.421008295785797,10.052124620758415
42,38.37777401077268,1,6.194979742563545,11.223626655707433
43,29.975610482109992,1,5.4749986741651355,11.497618932094351
44,48.814862765706906,1,6.98676339700343,10.641771269663028
45,25.297582464382714,1,5.029670214276749,9.73561504813129
46,38.232833994778915,1,6.183270493418424,8.894079080464495
47,21.03794024023623,1,4.586713446492623,7.570340030765243
48,28.0215145822753,1,5.2935351687010925,6.256289358695192
49,16.0845698205205,1,4.010557295504017,5.824011218585404
50,15.51823998550691,1,3.9393197363893817,5.109037135356718
51,14.110715230186605,1,3.7564231963646755,6.395827875011515
52,11.597260285287504,1,3.4054750454653906,6.1518777775138185
53,15.232428376227427,2,3.9028743736158646,52.60140860493641
54,9.89126836010312,1,3.1450386897625155,5.193938089390247
55,8.341258091795908,1,2.8881236282049816,5.32740922908672
56,8.215489673224054,1,2.8662675508793756,4.636379280348679
57,6.460678236030176,2,2.5417864261243857,49.139391951627275
58,5.521514697117246,1,2.3497903517372025,4.2550032381535425
59,4.078803697863155,2,2.019604837056783,48.04052431067849
60,2.575156777607108,2,1.6047295029403266,29.58493119218408
61,1.9939321849519203,2,1.4120666361584784,27.851431663512606
62,1.7984731674185555,1,1.3410716488758367,2.4729876017046695
63,1.4309625933363004,2,1.19622848709446,44.33152883087448
64,1.633998041600124,2,1.2782793284725071,34.470074203141756
65,1.5708916283274477,2,1.253352156549566,24.30421611998627
66,1.6310355377253516,2,1.2771200169621302,18.04363016653167
67,0.5285160383934484,2,0.726991085497923,17.950632593026164
68,1.0259343675662482,2,1.0128841827011854,18.413438971136145
69,0.9647442598032802,2,0.9822139582612742,18.1430570290188
70,0.5487759865650811,2,0.7407941593756535,17.529356232360435
71,0.690986602912612,2,0.8312560393239932,16.180365048096647
72,0.4640044060227301,2,0.6811786887614218,16.727940467842767
73,0.38020064590672803,2,0.6166041241402201,16.402665918327266
74,0.43723743478460736,2,0.6612393173311818,14.624013672836798
75,0.347002683978871,2,0.5890693371572407,14.212311610396434
76,0.23026842961009134,2,0.4798629279388973,13.95691411020666
77,0.19683671307592296,2,0.4436628371589432,12.617485903868983
78,0.14146986995053523,2,0.37612480634828543,11.307976635603945
79,0.1532183646271849,2,0.3914311748279446,11.595897540020315
80,0.0875607250463047,2,0.29590661541490537,12.562327675222688
81,0.08280643509881645,2,0.2877610729386733,11.99700799689358
82,0.07592171142477024,2,0.27553894720124456,11.880440561001405
83,0.04213089278480093,2,0.20525811259192883,11.275930647590863
84,0.03775429124280933,2,0.19430463515523588,10.239535669897748
85,0.040023082296285,2,0.20005769741823232,10.793362840249673
86,0.03179068666832218,2,0.17829942980369337,9.98439678888066
87,0.02098636484633789,2,0.144866714073102,9.61705819118631
88,0.017775516329830276,2,0.1333248526338217,9.87091748494173
89,0.014644201523476251,2,0.12101322871271658,9.870280309373486
90,0.012310153348278298,2,0.11095113045065516,9.18273746444229
91,0.010798795406738757,2,0.1039172526904881,8.122153306533257
92,0.009621716413443214,2,0.09809034821756529,9.13872880875979
93,0.00843097552429966,2,0.09182034373873613,9.886202680113524
94,0.008248820928976098,2,0.09082301981863462,8.133699241475483
95,0.007479620137096913,2,0.0864847971443358,8.447264059972273
96,0.006251390161277765,2,0.0790657331672689,8.836438852389138
97,0.005835095660815697,2,0.0763877978529012,7.791180366377083
98,0.005774624244906706,2,0.07599094844063144,6.681611710628897
99,0.0050938723525112365,2,0.07137136927726156,6.771115246091862
100,0.004689139473861171,2,0.0684772916656403,6.808188929458347
