Run,OfflineError,TrackingError
1,61.75278762466786,6.012924245086139
2,66.04665770926321,5.820599561801292
3,63.84690936723002,6.085399714669648
4,57.815551316947655,5.640559790349548
5,60.25640657722469,5.870235429721486
6,62.77626838153986,6.015580802057587
7,80.25906750303615,5.887414150916088
8,75.56278050008464,5.942365833132435
9,75.24348303113352,5.804163198131516
10,70.53094228231,6.1543963090020055
11,69.79240314313937,5.710400253519683
12,64.03954604413981,6.147522866630296
13,68.86208080781874,5.757919648148208
14,77.71143241785047,5.786275481007974
15,74.89019548509616,6.126718154443994
16,59.588532290892374,5.720110348396256
17,60.251500203668066,5.922531208875143
18,73.17326987918075,5.640318092677587
19,67.48456356727304,5.718808777367787
20,70.62595211995142,5.929015559794911
