Run,OfflineError,TrackingError
1,72.30904560705193,2.146650933636643
2,70.49006611747532,2.1660152931194183
3,72.95442884324656,2.060869342756409
4,71.08728918685549,2.1432545655527604
5,71.4033454819958,2.1169460090968566
6,72.52597882940147,2.1116117664931076
7,69.33983537249941,2.2747845720097057
8,70.95107359395375,2.15373818046516
9,66.51356844610683,2.3084018992742514
10,70.52909290368042,2.0696757093704345
11,70.4768647187033,2.1839240373906406
12,68.27150108526384,2.1768473476398116
13,72.25786730160094,2.216716495809198
14,72.49171775663817,2.1607183792317617
15,69.60749604720256,2.256336245681504
16,71.95334706705844,2.1574195330107915
17,68.75977652128721,2.119148642961732
18,68.86171560006615,2.1597178227497618
19,71.73176576920386,2.037800741730064
20,69.60398988342403,2.0994312874257717
