Iteration,Fitness,AParameter,Distance,Diversity
1,157.56739021174548,1.9975,8.33053084380361,9.484432551065007
2,107.40229637719307,1.995,7.839220034754726,8.413092002148966
3,92.37037900866059,1.9925,5.690508579620208,7.390745056323293
4,98.5935482868347,1.99,7.657952451880319,6.2651832346489895
5,98.5234351052266,1.9875,6.492845617708736,6.493482565948381
6,100.01937719422986,1.985,7.49093626171571,6.520858063690085
7,102.58605573488676,1.9825,6.115085411743266,6.1637945858613
8,91.62954607777448,1.98,6.142793411088254,5.766826459534034
9,105.8653233452172,1.9775,5.959359298007684,6.156818034443391
10,89.53648650709218,1.975,7.552538514951688,6.693402220133291
11,76.72972719474632,1.9725,5.935275755912679,6.5304148868338245
12,94.51528579918076,1.97,6.92793608883048,5.430039191557168
13,106.10439459968444,1.9675,4.9969093808344525,5.31450500522422
14,67.64954051533422,1.965,5.406471366527203,5.108729770384114
15,81.7646142470829,1.9625,5.711429359481777,4.852154696447349
16,98.35350085452552,1.96,4.930624005188896,4.759266620844335
17,93.21654403244904,1.9575,4.364322417716294,4.483014715714814
18,98.14485453778231,1.955,4.723239388597486,5.0411192586844855
19,74.77755257939344,1.9525,5.012305407120066,5.677047624561247
20,83.41609892643105,1.95,5.533148528145147,4.328866786415405
21,97.37187464132894,1.9475,6.058372095457836,4.992144607874439
22,87.66053733535601,1.945,5.267224425200765,4.446293143700785
23,80.9737010311936,1.9425,5.09170444446665,4.831281668705655
24,99.24595210299604,1.94,4.768401997612612,4.691798721524355
25,94.37411095380791,1.9375,4.641984687265764,4.637095066730232
26,76.04109652647884,1.935,5.936006596077634,5.404774601942075
27,98.12073439089542,1.9325,4.800646312115181,4.572229128850523
28,77.14406921533862,1.93,5.131680455452437,3.794523216775682
29,79.4895202739793,1.9275,4.832757667377098,4.978336721348741
30,75.26063915963533,1.925,4.877782168041413,5.321091573597741
31,66.16062552929577,1.9225,5.566113750486645,5.465881191639981
32,84.5600242854142,1.92,3.434113974775627,5.029587265392893
33,88.97614691696485,1.9175,5.780247419577302,4.695105161320305
34,85.38273350482953,1.915,5.741219853535469,4.121759115729989
35,84.24451014164532,1.9125,4.867931500744973,4.503299009700548
36,88.27559307528847,1.91,5.421549609982706,4.555761360942212
37,96.597496753234,1.9075,4.752393425740803,4.669525586873103
38,64.00899432384276,1.905,4.884057548289409,5.291619252321791
39,76.1353473520399,1.9025,5.118019389321684,4.52237610500792
40,106.26525468852216,1.9,4.9455710440061935,5.362494501945299
41,117.52319604832397,1.8975,4.2841534550693305,5.398087652750575
42,71.1062405493804,1.895,3.859509734577309,5.893487577096364
43,87.32218052168342,1.8925,4.395938222790565,5.248323512617626
44,70.32464597699071,1.89,6.662971812511626,5.176231084420976
45,93.72058502240408,1.8875,4.910641826937661,5.522471609087191
46,60.202668553765236,1.885,4.809405390333461,4.962531118254654
47,99.75086394375694,1.8825,4.739889194679303,4.853572373775436
48,79.27217078941032,1.88,4.08839289742716,4.605599572278702
49,91.6863973484036,1.8775,5.259657733980079,3.9123395687728313
50,96.45491221728331,1.875,4.497875307953564,3.9204780092709974
