Run,OfflineError,TrackingError
1,63.349759077185226,2.3967303311988273
2,58.973884761389925,2.5420514173644646
3,49.13649694735398,2.7114791634032036
4,52.750807111124665,2.537275322067193
5,52.32455613134023,2.6637203819505606
6,54.5814910345373,2.3594261327891553
7,53.40741590995237,2.5696569679246037
8,54.11604354099284,2.6081882332657806
9,57.256431221975774,2.5642949824554915
10,51.415638840103,2.6753136875073085
11,58.104397546183655,2.603702309203362
12,70.58882861387583,2.174654915962522
13,66.0767149386501,2.245008483821849
14,58.15765156612876,2.4033719430783873
15,50.92963845894899,2.500309684809565
16,53.236644555809704,2.671882122527972
17,52.59099149796729,2.4659395490681644
18,53.07930326906888,2.6307600735889225
19,57.98855549469807,2.5377501811946805
20,58.56504062198994,2.254083087452711
