Run,OfflineError,TrackingError
1,251464.1961416816,8.0726706402355
2,161547.97625277957,7.415391751314197
3,241760.91181700624,12.08006200415037
4,242846.50387704,8.411399256517312
5,186064.46038917894,13.855371673625287
6,303071.4219832238,15.247771395852451
7,322886.0787838812,15.633188279490398
8,181083.307591886,7.825896767903532
9,215854.25000345823,15.950851053982287
10,213231.14101241014,14.761095697317177
11,255702.27651984777,9.419599996323432
12,369820.4992828026,9.394993712693932
13,302202.5402689537,12.923544273976415
14,249676.73032639117,8.284757324941094
15,393279.3220745693,79.47098326475216
16,296841.0861584693,9.08525568805739
17,319598.3064499928,8.91449674421467
18,357022.92905345483,9.62653834684275
19,248459.75242839064,8.171845443847282
20,150972.01411163877,7.2108210278537035
