Run,OfflineError,TrackingError
1,459.50131691080924,2.5558694685242718
2,1097.9095164108317,3.133006418800481
3,1438.392723200167,3.375983031105573
4,1526.2475344564868,3.285605986350947
5,786.3935745871145,2.626145243061472
6,1107.6563749852305,3.0288464392420864
7,661.2692508819011,2.652579362848682
8,817.8791121022209,2.780734127356159
9,1392.2834973089675,3.285777153481792
10,1085.5879548016442,2.936626685198892
11,1062.7128656055006,2.885094602293916
12,1108.1280073486625,3.0131143989357674
13,1137.3622923089385,3.084394848674183
14,849.2337661591671,2.7135705034419058
15,1399.626300730358,3.321878757915452
16,1365.1660732630903,3.070488367342289
17,649.0998683257535,2.5577820675792515
18,1103.3641728933826,2.963347612879669
19,1147.7264318248363,2.9853240078929173
20,877.2790215416225,2.7986054725340246
