Run,OfflineError,TrackingError
1,1782.196312424622,3.3382749116891257
2,2172.176228416383,3.3920484455786317
3,1854.2888304856567,3.2850356273593837
4,1853.6525286795725,3.428662826347706
5,1979.7251852396857,3.302551254569898
6,1772.0193358854851,3.3774856225768404
7,1941.6285990636752,3.307970869569407
8,1957.4675696153668,3.3329929842448154
9,1946.4877034874069,3.3580734626008404
10,1807.2947333921784,3.291176998959772
11,1934.9371728152294,3.26031565356356
12,1754.486305128923,3.340072542234185
13,1925.2448081114449,3.2793373076597567
14,2334.460389781779,3.3098487961958734
15,1885.1047270650317,3.252051958401134
16,1926.9485357410067,3.4094408365870366
17,1874.2402650055953,3.3034240039318665
18,2076.9467973868655,3.233250175599502
19,1889.9862144433096,3.3584074293684463
20,1966.7067858551488,3.343650733824032
