Run,OfflineError,TrackingError
1,10.981181161988415,73.6099323572648
2,9.9115211142377,70.34614103634765
3,8.629784043964813,64.68141045452057
4,8.483145529655125,68.33972407027746
5,6.168533435297564,58.80048780917407
6,9.834788411410312,67.30924534978948
7,7.470499907701351,57.458259370683265
8,9.38308609001473,70.87534931111388
9,10.535176366486011,75.56723472724673
10,7.843403010123495,67.18478014152699
11,17.365116964340704,88.59615869338067
12,8.053292317904955,60.83871831096579
13,8.255874115734036,67.24059154074031
14,10.518287368969684,78.2397270489088
15,9.173053897757782,72.89098455445941
16,10.640238333297743,75.07149451142602
17,7.6462874898879445,64.53575728524339
18,9.77557274886751,75.35742525856011
19,17.3347953838416,95.64062898529448
20,8.059321315052816,65.33662947161902
