Run,OfflineError,TrackingError
1,1.5882613931185363,39.41445205584842
2,1.5133569272812357,38.514919431822065
3,1.7296413238902377,39.739483552712116
4,1.5787385509514027,39.10210229988163
5,1.6116376203981946,41.67073251369331
6,1.6911910394343042,40.0011927927869
7,1.4889364584500075,37.530127177293416
8,1.4507263011478684,36.02924284698514
9,1.6792139470136822,40.34248455699217
10,1.5643825914699536,38.17763139439843
11,1.6227144299553478,40.58172142002433
12,1.522144713808139,37.51420502146846
13,1.569863594844887,38.99847461699213
14,1.5607445358169805,39.851251351526564
15,1.5388763865596875,36.400399583200546
16,1.7023264448556177,39.29018581590123
17,1.5963816632234793,39.020727946372844
18,1.6809655941560115,40.304454930016874
19,1.528351936692615,38.452839747762106
20,1.5788158266363408,39.96869585486283
