Run,OfflineError,TrackingError
1,1.5585535287213177,26.62434541310126
2,1.3346433543607608,25.008502711953984
3,1.2935096134989164,24.76420048525526
4,1.312721679103701,26.202132514575677
5,1.2152151754923235,24.099834409412026
6,1.2639634945527305,24.647248469715937
7,1.4227595008773588,26.759146912790865
8,1.4827531678644577,27.417361952662528
9,1.5753675668468068,27.49650721889054
10,1.2567667360738737,23.800741651337265
11,1.6134329200867603,28.522990197019595
12,1.1386444512838725,22.4006221935012
13,1.238722245514587,24.072745685880278
14,1.4166431813857796,26.211627051710977
15,1.4523709615755587,26.7866975299347
16,1.2921948939501875,24.7252058802928
17,1.6676300301152767,28.006195910273007
18,1.5442412456647643,26.8843954093669
19,1.2676252310192024,23.68189016368373
20,1.307419081651025,25.583378092999066
