Run,OfflineError,TrackingError
1,1.1930742339338258,27.195779180855357
2,1.0669029861078168,24.582624214541728
3,1.0590764659846945,24.040546433686835
4,1.064026430062044,24.22743729636237
5,1.0805009224534885,25.420036272836587
6,1.0767401640472611,24.519887365754713
7,1.0684773000900532,24.15063540528162
8,1.07649899322164,24.73182811920536
9,1.105425913301475,25.95872142402074
10,1.107771445683137,26.56515562243742
11,1.0765953914370474,24.798800052246296
12,1.0813516030790438,25.476555285325222
13,1.0949767209085848,25.587035611624792
14,1.0660429281537842,24.708738380003364
15,1.0621410560533935,24.464689438801628
16,1.067941765551766,24.99249620831899
17,1.0887658146605113,25.4612470993115
18,1.1109791049476427,25.63589335836768
19,1.0680774730622256,24.636155199626245
20,1.102609931714777,25.397851424484315
