Run,OfflineError,TrackingError
1,1523.2210914888963,37.311200889090635
2,1455.5818274973237,36.68891217756827
3,1534.7585856137212,37.93577322289292
4,1597.2323545200145,38.67307551710322
5,1412.5504573369114,35.883445984941396
6,1435.4389127848706,36.231032059259014
7,1427.9048324893688,35.63801957025788
8,1581.7669433772605,38.266099209865516
9,1486.1878862777055,36.7337777270019
10,1584.6670626291184,38.57692598936071
11,1430.896022816145,36.21363138275487
12,1473.3874454110694,37.21173693113283
13,1611.8843781795056,37.92418515007317
14,1472.8522805540636,36.71137721985085
15,1378.3869878239846,35.64984982945469
16,1594.9378549526803,37.88690333980142
17,1223.9527790846257,31.67222522210122
18,1319.5041681964099,34.26146463185745
19,1381.008252144346,35.2089791867785
20,1422.4581387824185,36.11931918246752
