Run,OfflineError,TrackingError
1,185.1824696425887,10.854023827787175
2,181.03772510328238,10.201583517803257
3,177.16917454532154,10.135392760812671
4,177.6882131058953,10.195969410351958
5,161.03778089027227,9.725493514926463
6,176.32465054056837,10.076557185688578
7,177.30235941349122,10.075906967845158
8,161.2832861553022,9.637398878485284
9,158.61123825879116,9.683968308410504
10,197.70159527320283,10.596403174329943
11,162.6407160597011,9.703298658463309
12,163.02876603295636,9.805520309939432
13,180.95798734002466,10.35883767746757
14,162.09428660054928,9.74792862544295
15,160.63932377646827,9.721071300254113
16,163.9398067523065,9.794769984269315
17,188.01235902822984,10.981553093270064
18,180.6966574448447,10.252750727405402
19,161.4182506767538,9.775150496000162
20,177.17618891983048,10.161609427790664
