Run,OfflineError,TrackingError
1,368.26980921602984,16.8660187130815
2,372.6842691022534,16.94158945813103
3,356.3671788757963,16.38233961165982
4,362.9529685155327,16.805409549175096
5,364.7510864804941,16.861388750159144
6,361.2025147483502,16.671103084947184
7,363.80044946457855,16.792371844571377
8,359.9855874734234,16.63149734876258
9,392.4929519324185,17.617840716541053
10,361.2200661085494,16.810383009329
11,349.2979025502989,16.40584144348397
12,353.3666561107821,16.35697486212916
13,351.1000708216278,16.448517873784716
14,366.73885285156445,16.863754562300652
15,353.33901080570314,16.659561739540294
16,334.80636342959167,15.784473726171298
17,348.14241062395223,16.318812140847353
18,365.71466839489227,16.89310820450335
19,370.6903135036812,16.930281146503077
20,368.67076487971593,16.908059947401846
